Name,Power,GND,Arduino Digital,Arduino Analog,Port,Serial,I2C/SPI,PWM,ADC,Ext Interrupt,PC Interrupt,Misc,Misc2,extra
Left,,,,,,,,,,,,,,
NC,,NC,,,,,,,,,,,,
IOREF,,IOREF,,,,,,,,,,,,
30,RESET,,,,,,,,,,,RESET,,
3.3V,3.3V,,,,,,,,,,,,,
5V,5V,,,,,,,,,,,,,
GND,,GND,,,,,,,,,,,,
GND,,GND,,,,,,,,,,,,
VIN,VIN,,,,,,,,,,,,,
Left,,,,,,,,,,,,,,
97,,,D54,A0,PF0,,,,ADC0,,,,,
96,,,D55,A1,PF1,,,,ADC1,,,,,
95,,,D56,A2,PF2,,,,ADC2,,,,,
94,,,D57,A3,PF3,,,,ADC3,,,,,
93,,,D58,A4,PF4,,,,ADC4,,,TCK,,
92,,,D59,A5,PF5,,,,ADC5,,,TMS,,
91,,,D60,A6,PF6,,,,ADC6,,,TDO,,
90,,,D61,A7,PF7,,,,ADC7,,,TDI,,
Left,,,,,,,,,,,,,,
89,,,D62,A8,PK0,,,,ADC8,,PCINT16,,,
88,,,D63,A9,PK1,,,,ADC9,,PCINT17,,,
87,,,D64,A10,PK2,,,,ADC10,,PCINT18,,,
86,,,D65,A11,PK3,,,,ADC11,,PCINT19,,,
85,,,D66,A12,PK4,,,,ADC12,,PCINT20,,,
84,,,D67,A13,PK5,,,,ADC13,,PCINT21,,,
83,,,D68,A14,PK6,,,,ADC14,,PCINT22,,,
82,,,D69,A15,PK7,,,,ADC15,,PCINT23,,,
Left,,,,,,,,,,,,,,
50,,,D38,,PD7,,,,,,,T0,,
52,,,D40,,PG1,,,,,,,RD,,
42,,,D42,,PL7,,,,,,,,,
40,,,D44,,PL5,,,PWM,,,,OC5C,,
38,,,D46,,PL3,,,PWM,,,,OC5A,,
36,,,D48,,PL1,,,,,,,ICP5,,
22,,,D50,,PB3,,MISO,,,,PCINT3,,,
20,,,D52,,PB1,,SCK,,,,PCINT1,,,
Left,,,,,,,,,,,,,,
19,,,D53,,PB0,,SS,,,,PCINT0,,,
21,,,D51,,PB2,,MOSI,,,,PCINT2,,,
35,,,D49,,PL0,,,,,,,ICP4,,
37,,,D47,,PL2,,,,,,,T5,,
39,,,D45,,PL4,,,PWM,,,,OC5B,,
41,,,D43,,PL6,,,,,,,,,
51,,,D41,,PG0,,,,,,,WR,,
70,,,D39,,PG2,,,,,,,ALE,,
Right,,,,,,,,,,,,,,
43,,,D21,,PD0,,SCL,,,INT0,,,,
44,,,D20,,PD1,,SDA,,,INT1,,,,
98,,,,AREF,AREF,,,,,,,,,
,,GND,,,,,,,,,,,,
